deck,commander,power,played,won,draw,lost,type,W,U,B,R,G,identity,artist,plane,moxfield,themes,location
Clueing for Looks,Ace & The Eighth Doctor,mid,2,1,1,0,LGS,FALSE,TRUE,FALSE,FALSE,TRUE,Bant,Colin Boyer&Aurore Folny,Tardis&Tardis,olB3hqF_4k26-YAFuVkufw,clues,Ennepetal
Non-Markovian Vampirism,Runo,mid,0,0,0,0,Unfinished,FALSE,TRUE,TRUE,FALSE,FALSE,Dimir,Xiaobotong,Innistrad,KSSX5jDAOE6lHV6NHqvCew,vampires,Ennepetal
Countdown,Obeka,mid,0,0,0,0,Unfinished,FALSE,TRUE,TRUE,TRUE,FALSE,Grixis,Josh Newton,Unknown,8AoVZ4BZXE2MFoZCr2mh5w,myriad&copies,Ennepetal
Giving Goats Away,Zedruu,PreCon,1,0,0,1,proxied,TRUE,TRUE,FALSE,TRUE,FALSE,Jeskai,Mark Zug,Ikoria,OyJB7Ux9cUyQ8c9tzjDpzg,mutate&gifts,Ennepetal
Undercity Palace,Kadena,mid,2,0,1,1,LGS,FALSE,TRUE,TRUE,FALSE,TRUE,Sultai,Caio Monteiro,Tarkir,LGds2ftYTkaqJJJMBDpQCw,morph,Brighton
Tales of the Seven,Jasmine Boreal,mid,0,0,0,0,Unfinished,TRUE,FALSE,FALSE,FALSE,TRUE,Selesnya,Bastien L. Deharme,Dominaria,xTxBn0JjAUOe4WEgJwW4pgadventures,vanilla,Brighton
Meet the Doggo,Dogmeat,mid,0,0,0,0,LGS,TRUE,FALSE,FALSE,TRUE,TRUE,Naya,Kieran Yanner,Fallout,w-V3IKcL60mHXq_lmZw1qA,equipment,Ennepetal
Easter Basket,Finneas,mid,3,2,1,0,proxied,TRUE,TRUE,FALSE,FALSE,TRUE,Selesnya,Victor Adame Minguez,Bloomburrow,KwTV7tribUqeQkFXCa2UEQ,group hug&goat&suspect&rabbits,Brighton
A Glimpse Of Time,River Song,mid,1,1,0,0,Unfinished,FALSE,TRUE,FALSE,TRUE,FALSE,Izzet,John Di Giovanni,Tardis,P_zQ6IGVOkemK6NL22Z0UA,prowess&storm,Ennepetal
Therizinosaur Nursery,Atla,mid,10,2,1,7,LGS,TRUE,FALSE,FALSE,TRUE,TRUE,Naya,Ekaterina Burmak,Ixalan,Ea_PikFnwEe1gc7ruQFJWw,stax,Brighton
For the Cause,Inalla,mid,0,0,0,0,Unfinished,FALSE,TRUE,TRUE,TRUE,FALSE,Grixis,Yongjae Choi,Unknown,FJULR4wdfUmyeOrQ4wAXFg,wizards,Ennepetal
God of Germs,Mogis,mid,0,0,0,0,LGS,FALSE,FALSE,TRUE,TRUE,FALSE,Rakdos,Chase Stone,Theros,UJz0I8Cprk2DPLjDzIozbQ,artifacts,Brighton
Olivia's Seaside Retreat,Olivia,mid,0,0,0,0,Unfinished,FALSE,FALSE,TRUE,TRUE,FALSE,Rakdos,Livia Prima,Innistrad,VOXKcF46QUW2Jm4Y9mIEPg,madness,Ennepetal
Horseplay,Baylen,mid,2,1,1,0,Unfinished,TRUE,FALSE,FALSE,TRUE,TRUE,Naya,Ryan Pancoast,Bloomburrow,q6OMXkxE-Ua3nkuNPDAgDA,mounts,Brighton
Good Ghuls,Temmet,mid,0,0,0,0,Unfinished,TRUE,TRUE,FALSE,FALSE,FALSE,Azorius,Anna Steinbauer,Amonkhet,fDlCKZ_yrEmsKGBclSNggw,zombies&tokens,Brighton
Mother's Machines,Pia Nalaar,mid,0,0,0,0,Unfinished,FALSE,TRUE,FALSE,TRUE,TRUE,Temur,Bram Sels,Avishkar,/75RczxAbcEGZAn9d3P00nQ,energy,Ennepetal
Savage Her Reply,Oona,mid,0,0,0,0,Unfinished,FALSE,TRUE,TRUE,FALSE,FALSE,Dimir,Mila Pesic,Lorwyn,aWdELFwBJE6SbHkzffMS7w,faeries&flash,Ennepetal
Hoarding Treasures,Rashmi and Ragavan,mid,0,0,0,0,Unfinished,FALSE,TRUE,FALSE,TRUE,TRUE,Temur,Joshua Cairos&Joshua Cairos,Avishkar&Aviskhar,7wL9Wz-hM0SIN0Z0D608NA,theft,Brighton
Keimi's Revenge,Tatsunari,mid,0,0,0,0,Unfinished,FALSE,TRUE,TRUE,FALSE,TRUE,Sultai,Justine Cruz,Kamigawa,s-cNKA_uMUm0RJUOzYbwlg,enchantress,Brighton
Please Collect Your Fblthp,Fblthp,mid,0,0,0,0,Unfinished,TRUE,FALSE,FALSE,FALSE,FALSE,Blue,Marija Tiurina,Ravnica,sETc1gqVvEyt6qWw6Uobag,fblthp,Ennepetal
Pride of the House,Daghatar,mid,0,0,0,0,Unfinished,TRUE,FALSE,TRUE,FALSE,TRUE,Abzan,Zack Stella,Tarkir,NPCHSG_h9EiLYZzDMHgRhA,counters,Brighton
Not Today,Alesha,mid,0,0,0,0,Unfinished,TRUE,FALSE,TRUE,TRUE,FALSE,Mardu,Winona Nelson,Tarkir,MRTEe6guXUaHQcWSh_28ig,sacrifice&recursion,Ennepetal
Under The Ice,Sharae,mid,0,0,0,0,LGS,TRUE,TRUE,FALSE,FALSE,FALSE,Azorius,Evyn Fong,Eldraine,_12YzZ-Ro0GrJ8iuWFWhTQ,control&stax,Brighton
